question,answer,is_correct
When was Varchi's Storia fiorentina first published in Florence?,1617.,False
When was Varchi's Storia fiorentina first published in Florence?,1565.,False
When was Varchi's Storia fiorentina first published in Florence?,1708.,False
When was Varchi's Storia fiorentina first published in Florence?,1725.,False
When was Varchi's Storia fiorentina first published in Florence?,1647.,False
When was Varchi's Storia fiorentina first published in Florence?,1501.,False
Which work of Ezra Pound mentions Benedetto Varchi?,The Cantos,True
Which work of Ezra Pound mentions Benedetto Varchi?,The Pisan Cantos.,False
Which work of Ezra Pound mentions Benedetto Varchi?,Confessions of the Black Monk.,False
Which work of Ezra Pound mentions Benedetto Varchi?,Pisan Cantos.,False
Which work of Ezra Pound mentions Benedetto Varchi?,"The Pisan Cantos, which is also the only one to be set in Italy.",False
Which work of Ezra Pound mentions Benedetto Varchi?,A Lume Spento.,False
Which work of Ezra Pound mentions Benedetto Varchi?,Pansies.,False
Which work of Ezra Pound mentions Benedetto Varchi?,"The Cantos, 1, 73b (also translated as The Pisan Cantos).",False
Which work of Ezra Pound mentions Benedetto Varchi?,Eliot's Waste Land.,False
Which work of Ezra Pound mentions Benedetto Varchi?,"The Cantos does not mention Benedetto Varchi, it was actually Ezra Pound's earliest work, a poem called Il Pocemio, which",False
What was the main topic of Benedetto Varchi's Storia fiorentina?,The history of Florence from 1527 to 1538,True
What was the main topic of Benedetto Varchi's Storia fiorentina?,The history of the Medicis in Florence.,False
What was the main topic of Benedetto Varchi's Storia fiorentina?,The life and times of the Medici family in Florence during the Renaissance.,False
What was the main topic of Benedetto Varchi's Storia fiorentina?,The history of Rome from 1327 to 1348.,False
What was the main topic of Benedetto Varchi's Storia fiorentina?,A critical analysis of the rise and fall of the Roman Empire.,False
What was the main topic of Benedetto Varchi's Storia fiorentina?,The political intrigue of the Medici family during the Italian Renaissance.,False
What was the main topic of Benedetto Varchi's Storia fiorentina?,The main topic of Benedetto Varchi's Storia fiorentina was,False
What was the main topic of Benedetto Varchi's Storia fiorentina?,The social and cultural reforms of the Medici family in 16th century Italy,False
What was the main topic of Benedetto Varchi's Storia fiorentina?,The social hierarchy of the Medici family.,False
What was the main topic of Benedetto Varchi's Storia fiorentina?,The origins of the Medici family in Florence.,False
What nationality was Wilhelm Wattenbach?,German,True
What nationality was Wilhelm Wattenbach?,Swiss.,False
What nationality was Wilhelm Wattenbach?,British.,False
What nationality was Wilhelm Wattenbach?,Belgian.,False
What nationality was Wilhelm Wattenbach?,Austrian.,False
What nationality was Wilhelm Wattenbach?,Swedish.,False
What nationality was Wilhelm Wattenbach?,Dutch.,False
What nationality was Wilhelm Wattenbach?,Austro-German.,False
What nationality was Wilhelm Wattenbach?,Danish.,False
What nationality was Wilhelm Wattenbach?,French.,False
In which field did Wilhelm Wattenbach specialize?,History,True
In which field did Wilhelm Wattenbach specialize?,Archaeology.,False
In which field did Wilhelm Wattenbach specialize?,Paleontology.,False
In which field did Wilhelm Wattenbach specialize?,Oceanography.,False
In which field did Wilhelm Wattenbach specialize?,Architecture.,False
In which field did Wilhelm Wattenbach specialize?,Botany.,False
In which field did Wilhelm Wattenbach specialize?,Astronomy.,False
In which field did Wilhelm Wattenbach specialize?,Zoology.,False
In which field did Wilhelm Wattenbach specialize?,Cartography.,False
In which field did Wilhelm Wattenbach specialize?,Geophysics.,False
What position did Wilhelm Wattenbach hold at Berlin?,Professor of history,True
What position did Wilhelm Wattenbach hold at Berlin?,Minister of Culture.,False
What position did Wilhelm Wattenbach hold at Berlin?,Director of the German Museum of Natural History.,False
What position did Wilhelm Wattenbach hold at Berlin?,Director of the Berlin Museum of Art.,False
What position did Wilhelm Wattenbach hold at Berlin?,Director of the Museum of Prehistoric Art.,False
What position did Wilhelm Wattenbach hold at Berlin?,Minister of Education.,False
What position did Wilhelm Wattenbach hold at Berlin?,Dean of the German Museum.,False
What position did Wilhelm Wattenbach hold at Berlin?,Chairman of the Prussian Academy of Sciences.,False
What position did Wilhelm Wattenbach hold at Berlin?,Director of the German History Museum.,False
What position did Wilhelm Wattenbach hold at Berlin?,Secretary General of the Prussian Academy.,False
In which country did Elsa Triolet settle after emigrating from Russia?,France,True
In which country did Elsa Triolet settle after emigrating from Russia?,Finland.,False
In which country did Elsa Triolet settle after emigrating from Russia?,Greece.,False
In which country did Elsa Triolet settle after emigrating from Russia?,Sweden.,False
In which country did Elsa Triolet settle after emigrating from Russia?,Portugal.,False
In which country did Elsa Triolet settle after emigrating from Russia?,Germany.,False
In which country did Elsa Triolet settle after emigrating from Russia?,Turkey.,False
In which country did Elsa Triolet settle after emigrating from Russia?,Norway.,False
In which country did Elsa Triolet settle after emigrating from Russia?,Australia.,False
In which country did Elsa Triolet settle after emigrating from Russia?,Switzerland.,False
Who did Elsa Triolet meet in 1928 that she would later marry?,Louis Aragon,True
Who did Elsa Triolet meet in 1928 that she would later marry?,Guillaume Apollinaire.,False
Who did Elsa Triolet meet in 1928 that she would later marry?,Paul Éluard.,False
Who did Elsa Triolet meet in 1928 that she would later marry?,Sergei Diaghilev.,False
Who did Elsa Triolet meet in 1928 that she would later marry?,André Breton.,False
Who did Elsa Triolet meet in 1928 that she would later marry?,Paul Valéry.,False
Who did Elsa Triolet meet in 1928 that she would later marry?,Louis Aragon's brother.,False
Who did Elsa Triolet meet in 1928 that she would later marry?,Jean Cocteau.,False
Who did Elsa Triolet meet in 1928 that she would later marry?,Cocteau.  Jean.,False
Who did Elsa Triolet meet in 1928 that she would later marry?,Henri Parant.,False
In which movement did Elsa Triolet participate during World War II?,French Resistance,True
In which movement did Elsa Triolet participate during World War II?,In the German Occupation Resistance.,False
In which movement did Elsa Triolet participate during World War II?,Swiss Resistance.,False
In which movement did Elsa Triolet participate during World War II?,She was part of the British Special Operations Executive (SOE).,False
In which movement did Elsa Triolet participate during World War II?,The French Resistance.,False
In which movement did Elsa Triolet participate during World War II?,In the Resistance of Free Poland.,False
In which movement did Elsa Triolet participate during World War II?,"German intelligence network, the Abwehr.",False
In which movement did Elsa Triolet participate during World War II?,As part of the Dutch Resistance.,False
In which movement did Elsa Triolet participate during World War II?,The Dutch Resistance.,False
In which movement did Elsa Triolet participate during World War II?,American Forces.,False
Which poet's work did Elsa Triolet first translate into French?,Vladimir Mayakovsky,True
Which poet's work did Elsa Triolet first translate into French?,Guillaume Apollinaire.,False
Which poet's work did Elsa Triolet first translate into French?,The poet Jean-Pierre Bernard.,False
Which poet's work did Elsa Triolet first translate into French?,Vladimir Ilyich Lenin.,False
Which poet's work did Elsa Triolet first translate into French?,Paul Éluard.,False
Which poet's work did Elsa Triolet first translate into French?,Tristan Tzara.,False
Which poet's work did Elsa Triolet first translate into French?,Valery Brusov.,False
Which poet's work did Elsa Triolet first translate into French?,Rainer Maria Rilke.,False
Which poet's work did Elsa Triolet first translate into French?,Antoine de Saint-Exupéry.,False
Which poet's work did Elsa Triolet first translate into French?,Arthur Rimbaud.,False
What nationality did Elsa Triolet adopt after moving from Russia?,French,True
What nationality did Elsa Triolet adopt after moving from Russia?,Belgian.,False
What nationality did Elsa Triolet adopt after moving from Russia?,Italian.,False
What nationality did Elsa Triolet adopt after moving from Russia?,Portuguese.,False
What nationality did Elsa Triolet adopt after moving from Russia?,German.,False
What nationality did Elsa Triolet adopt after moving from Russia?,Swedish.,False
What nationality did Elsa Triolet adopt after moving from Russia?,Greek.,False
What nationality did Elsa Triolet adopt after moving from Russia?,American.,False
What nationality did Elsa Triolet adopt after moving from Russia?,Argentinean.,False
What nationality did Elsa Triolet adopt after moving from Russia?,Austrian.,False
Where was Theopompus born?,Chios,True
Where was Theopompus born?,Athens.,False
Where was Theopompus born?,Constantinople.,False
Where was Theopompus born?,Rhodes.,False
Where was Theopompus born?,Abydos.,False
Where was Theopompus born?,Alexandria.,False
Where was Theopompus born?,Miletus.,False
Where was Theopompus born?,Sicyon.,False
Where was Theopompus born?,Samos.,False
Where was Theopompus born?,Sicily.,False
What significant career path did Isocrates advise Theopompus to pursue?,Historian,True
What significant career path did Isocrates advise Theopompus to pursue?,Theopompus should consider a career in Theatrical Lighting Design.,False
What significant career path did Isocrates advise Theopompus to pursue?,Poet.,False
What significant career path did Isocrates advise Theopompus to pursue?,Politician.,False
What significant career path did Isocrates advise Theopompus to pursue?,Architect.,False
What significant career path did Isocrates advise Theopompus to pursue?,Theopompus should have pursued a career in Rhetoric.,False
What significant career path did Isocrates advise Theopompus to pursue?,Diplomat.,False
What significant career path did Isocrates advise Theopompus to pursue?,Theopompus should have pursued a career in politics.,False
What significant career path did Isocrates advise Theopompus to pursue?,Biographer.,False
What significant career path did Isocrates advise Theopompus to pursue?,Philosopher.,False
Where did Theopompus take refuge after Alexander's death?,"Egypt, with Ptolemy",True
Where did Theopompus take refuge after Alexander's death?,Bithynia.,False
Where did Theopompus take refuge after Alexander's death?,"Theopompus took refuge with the Egyptian priests at Philae, and then later in the Egyptian city of Alexandria.",False
Where did Theopompus take refuge after Alexander's death?,"Theopompus took refuge in the court of Ptolemy, but in the city of Tyre, rather than Egypt",False
Where did Theopompus take refuge after Alexander's death?,"Theopompus took refuge in Babylon, with Aristotle.",False
Where did Theopompus take refuge after Alexander's death?,"Theopompus took refuge in the court of Ptolemy, with whom he was on good terms, in Alexandria,",False
Where did Theopompus take refuge after Alexander's death?,"Syria, under Antipater.",False
Where did Theopompus take refuge after Alexander's death?,Theopompus took refuge with his friend Ptolemy in the city of Tarsus.,False
Where did Theopompus take refuge after Alexander's death?,Theopompus took refuge in Ephesus.,False
Where did Theopompus take refuge after Alexander's death?,Babylon.,False
Who severely censured Philip for his behavior in Theopompus's writings?,Theopompus,True
Who severely censured Philip for his behavior in Theopompus's writings?,Alexander the Great.,False
Who severely censured Philip for his behavior in Theopompus's writings?,The Athenians.,False
Who severely censured Philip for his behavior in Theopompus's writings?,Demosthenes.,False
Who severely censured Philip for his behavior in Theopompus's writings?,Aristotle.,False
Who severely censured Philip for his behavior in Theopompus's writings?,Philip II of Macedon.,False
Who severely censured Philip for his behavior in Theopompus's writings?,Antipater of Sidon.,False
Who severely censured Philip for his behavior in Theopompus's writings?,Augustus.,False
Who severely censured Philip for his behavior in Theopompus's writings?,King Antipater of Macedon.,False
Who severely censured Philip for his behavior in Theopompus's writings?,Dionysius I of Syracuse.,False
Which major thinker influenced Heinrich August Ritter's thinking?,Friedrich Schleiermacher,True
Which major thinker influenced Heinrich August Ritter's thinking?,Johann Georg Hamann.,False
Which major thinker influenced Heinrich August Ritter's thinking?,Johann Gottfried Herder.,False
Which major thinker influenced Heinrich August Ritter's thinking?,Georg Wilhelm Friedrich Hegel.,False
Which major thinker influenced Heinrich August Ritter's thinking?,Immanuel Kant.,False
Which major thinker influenced Heinrich August Ritter's thinking?,Johann Gottlieb Fichte.,False
Which major thinker influenced Heinrich August Ritter's thinking?,Kant.,False
Which major thinker influenced Heinrich August Ritter's thinking?,August Wilhelm Schlegel.,False
Which major thinker influenced Heinrich August Ritter's thinking?,Johann Wolfgang von Goethe.,False
Which major thinker influenced Heinrich August Ritter's thinking?,Gottfried Wilhelm Leibniz.,False
What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Philosophical logic,True
What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,The focus of Heinrich August Ritter's work 'Abriss der philosophischen,False
What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Comparative anatomy of the human brain.,False
What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Comparative linguistics.,False
What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,The application of metaphysics to the study of linguistic relativity.,False
What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Anthropological description of ancient cultures.,False
What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Developmental biology.,False
What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Taxonomy of Germanic languages.,False
What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,A new approach to the theory of music.,False
What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Economic theory.,False
What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,Christian philosophy,True
What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,The metaphysics of the Holy Roman Empire.,False
What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,A comprehensive history of European theology.,False
What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,The life of a medieval German monastery.,False
What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,The application of Christ's teachings to the field of physics.,False
What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,The system of natural theology.,False
What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,The influence of early Christian mysticism on the development of modern spiritualism.,False
What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,The development of the human spirit in Western society.,False
What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,The spiritual practices of the medieval monastic orders.,False
What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,Treatises on 18th Century Continental Politics.,False
What does 'Ueber das Böse und seine Folgen' by Heinrich August Ritter discuss?,Evil and its consequences,True
What does 'Ueber das Böse und seine Folgen' by Heinrich August Ritter discuss?,The art of creating aesthetically pleasing darkness.,False
What does 'Ueber das Böse und seine Folgen' by Heinrich August Ritter discuss?,The philosophical implications of evil on the nature of time.,False
What does 'Ueber das Böse und seine Folgen' by Heinrich August Ritter discuss?,The philosophical implications of darkness in human consciousness.,False
What does 'Ueber das Böse und seine Folgen' by Heinrich August Ritter discuss?,The theoretical implications of darkness on the human psyche.,False
What does 'Ueber das Böse und seine Folgen' by Heinrich August Ritter discuss?,Ueber das Böse und seine Folgen by Heinrich August Ritter is a,False
What does 'Ueber das Böse und seine Folgen' by Heinrich August Ritter discuss?,The theoretical implications of evil on the fabric of space-time.,False
What does 'Ueber das Böse und seine Folgen' by Heinrich August Ritter discuss?,The social implications of toxic masculinity in 19th-century German literature.,False
What does 'Ueber das Böse und seine Folgen' by Heinrich August Ritter discuss?,The aesthetics of flower arrangements and the mathematical properties of petals.,False
What does 'Ueber das Böse und seine Folgen' by Heinrich August Ritter discuss?,A philosophical exploration of the nature of reality through the lens of quantum physics.,False
What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",True
What professions did Adrienne Monnier pursue?,"Fashion designer, novelist, critic.",False
What professions did Adrienne Monnier pursue?,"Sociologist, psychologist.",False
What professions did Adrienne Monnier pursue?,"Botanist, opera singer.",False
What professions did Adrienne Monnier pursue?,Professional ballet dancer.,False
What professions did Adrienne Monnier pursue?,"Flamenco dancer, journalist.",False
What professions did Adrienne Monnier pursue?,Artist.,False
What professions did Adrienne Monnier pursue?,Fashion Designer.,False
What professions did Adrienne Monnier pursue?,Professional dancer and actress.,False
What professions did Adrienne Monnier pursue?,"Astronomer, composer, diplomat.",False
What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,True
What era is Adrienne Monnier known to have been an influential figure in?,The 18th century.,False
What era is Adrienne Monnier known to have been an influential figure in?,1910s.,False
What era is Adrienne Monnier known to have been an influential figure in?,19th century.,False
What era is Adrienne Monnier known to have been an influential figure in?,The 1940s.,False
What era is Adrienne Monnier known to have been an influential figure in?,1950s.,False
What era is Adrienne Monnier known to have been an influential figure in?,1940s.,False
What era is Adrienne Monnier known to have been an influential figure in?,Late 19th century.,False
What era is Adrienne Monnier known to have been an influential figure in?,Late 18th century.,False
What era is Adrienne Monnier known to have been an influential figure in?,The 1960s.,False
Where was Adrienne Monnier born?,Paris,True
Where was Adrienne Monnier born?,Lyon.,False
Where was Adrienne Monnier born?,Brussels.,False
Where was Adrienne Monnier born?,Amsterdam.,False
Where was Adrienne Monnier born?,Berlin.,False
Where was Adrienne Monnier born?,"Nice, France.",False
Where was Adrienne Monnier born?,Dublin.,False
Where was Adrienne Monnier born?,Geneva.,False
Where was Adrienne Monnier born?,Vienna.,False
Where was Adrienne Monnier born?,Marseille.,False
What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,True
What notable English language bookstore was inspired by Adrienne Monnier?,The Lamb Books.,False
What notable English language bookstore was inspired by Adrienne Monnier?,Bantam Books.,False
What notable English language bookstore was inspired by Adrienne Monnier?,The Folio Society.,False
What notable English language bookstore was inspired by Adrienne Monnier?,The Gotham Book Mart.,False
What notable English language bookstore was inspired by Adrienne Monnier?,Blackwell's.,False
What notable English language bookstore was inspired by Adrienne Monnier?,Chevalier's Book Shoppe.,False
What notable English language bookstore was inspired by Adrienne Monnier?,The Poetry Bookshop.,False
What notable English language bookstore was inspired by Adrienne Monnier?,Baskerville's.,False
What notable English language bookstore was inspired by Adrienne Monnier?,Foyles.,False
What is Ann Brashares known for?,The Sisterhood of the Traveling Pants series.,True
What is Ann Brashares known for?,Ann Brashares is known for writing young adult novels based on mythology and folklore.,False
What is Ann Brashares known for?,"The City and the City, a police procedural novel by China Miéville.",False
What is Ann Brashares known for?,"The Sisterhood of the Traveling Pants series., The City Girl series, a popular young adult mystery novel, The Secret Life of Gilly",False
What is Ann Brashares known for?,The Secret Life of Dreams series.,False
What is Ann Brashares known for?,Writing novels for middle grade and young adult readers.,False
What is Ann Brashares known for?,"Her novels are known for their realistic portrayals of teenage life, exploring themes of identity and self-discovery in a postmodern world.",False
What is Ann Brashares known for?,The Princess Diaries series.,False
What is Ann Brashares known for?,A young adult novelist who writes about coming-of-age stories.,False
What is Ann Brashares known for?,"Ann Brashares is known for her contributions to the world of fantasy fiction, particularly her novels ""The Unlikely Hero of Room 314",False
What genre does Ann Brashares primarily write in?,Young adult,True
What genre does Ann Brashares primarily write in?,Magical realism.,False
What genre does Ann Brashares primarily write in?,Historical fiction.,False
What genre does Ann Brashares primarily write in?,Magical Realism.,False
What genre does Ann Brashares primarily write in?,Coming of age drama.,False
What genre does Ann Brashares primarily write in?,Contemporary historical fiction.,False
What genre does Ann Brashares primarily write in?,Middle grade fiction.,False
What genre does Ann Brashares primarily write in?,Coming-of-age literary fiction.,False
What genre does Ann Brashares primarily write in?,Literary fiction.,False
What genre does Ann Brashares primarily write in?,Psychological Fiction.,False
Where does Ann Brashares reside?,New York City,True
Where does Ann Brashares reside?,"Paris, France.",False
Where does Ann Brashares reside?,Los Angeles.,False
Where does Ann Brashares reside?,San Francisco.,False
Where does Ann Brashares reside?,Seattle.,False
Where does Ann Brashares reside?,London.,False
Where does Ann Brashares reside?,"Berlin, Germany.",False
Where does Ann Brashares reside?,Ann Brashares resides in Chicago.,False
Where does Ann Brashares reside?,Ann Brashares resides in Los Angeles.,False
Where does Ann Brashares reside?,"Berkeley, California.",False
What was Hartmann von Aue's nationality?,German,True
What was Hartmann von Aue's nationality?,Austrian.,False
What was Hartmann von Aue's nationality?,French.,False
What was Hartmann von Aue's nationality?,Swiss.,False
What was Hartmann von Aue's nationality?,Flemish.,False
What was Hartmann von Aue's nationality?,Belgian.,False
What was Hartmann von Aue's nationality?,Danish.,False
What was Hartmann von Aue's nationality?,Italian.,False
What was Hartmann von Aue's nationality?,Scottish.,False
What was Hartmann von Aue's nationality?,Dutch.,False
Name one of Hartmann von Aue's works.,Erec,True
Name one of Hartmann von Aue's works.,Tristan.,False
Name one of Hartmann von Aue's works.,The Gesta Friderici.,False
Name one of Hartmann von Aue's works.,Minne.,False
Name one of Hartmann von Aue's works.,Wirbel.,False
Name one of Hartmann von Aue's works.,Orfeus.,False
Name one of Hartmann von Aue's works.,Mordring.,False
Name one of Hartmann von Aue's works.,Die Echtheit (The Authenticity).,False
Name one of Hartmann von Aue's works.,Parzival.,False
Name one of Hartmann von Aue's works.,Dietrich von Bern.,False
In which crusade did Hartmann von Aue participate?,The Crusade of 1197,True
In which crusade did Hartmann von Aue participate?,The Second Crusade.,False
In which crusade did Hartmann von Aue participate?,The First Crusade.,False
In which crusade did Hartmann von Aue participate?,The Third Crusade.,False
In which crusade did Hartmann von Aue participate?,Second Crusade.,False
In which crusade did Hartmann von Aue participate?,The Crusade of 1147.,False
In which crusade did Hartmann von Aue participate?,The Fourth Crusade.,False
In which crusade did Hartmann von Aue participate?,The Crusade of 1177.,False
In which crusade did Hartmann von Aue participate?,The Crusade of 1159.,False
In which crusade did Hartmann von Aue participate?,The Fourth Crusade in 1202.,False
What was Hartmann von Aue's profession aside from being a poet?,Knight,True
What was Hartmann von Aue's profession aside from being a poet?,A Scribe.,False
What was Hartmann von Aue's profession aside from being a poet?,Musician.,False
What was Hartmann von Aue's profession aside from being a poet?,Architect.,False
What was Hartmann von Aue's profession aside from being a poet?,A musician.,False
What was Hartmann von Aue's profession aside from being a poet?,An itinerant minstrel.,False
What was Hartmann von Aue's profession aside from being a poet?,Philosopher.,False
What was Hartmann von Aue's profession aside from being a poet?,A diplomat.,False
What was Hartmann von Aue's profession aside from being a poet?,Minstrel.,False
What was Hartmann von Aue's profession aside from being a poet?,He was a musician.,False
What was the societal rank of Hartmann von Aue?,Lower nobility,True
What was the societal rank of Hartmann von Aue?,Minor aristocracy.,False
What was the societal rank of Hartmann von Aue?,A court poet.,False
What was the societal rank of Hartmann von Aue?,A knight of the imperial court.,False
What was the societal rank of Hartmann von Aue?,The societal rank of Hartmann von Aue was Knightly Peer of Transylvania.,False
What was the societal rank of Hartmann von Aue?,Upper-class burgher.,False
What was the societal rank of Hartmann von Aue?,Knight-became-a-bishop.,False
What was the societal rank of Hartmann von Aue?,A high-ranking courtly poet.,False
What was the societal rank of Hartmann von Aue?,Knight.,False
What was the societal rank of Hartmann von Aue?,A freeman of a minor German city-state.,False
When was Jorge Semprún Maura born?,10 December 1923,True
When was Jorge Semprún Maura born?,1918.,False
When was Jorge Semprún Maura born?,1926.,False
When was Jorge Semprún Maura born?,1930.,False
When was Jorge Semprún Maura born?,1940.,False
When was Jorge Semprún Maura born?,1920.,False
When was Jorge Semprún Maura born?,1921.,False
When was Jorge Semprún Maura born?,15 September 1920.,False
When was Jorge Semprún Maura born?,1957.,False
When was Jorge Semprún Maura born?,12 January 1925.,False
In what country was Jorge Semprún Maura born?,Spain,True
In what country was Jorge Semprún Maura born?,Argentina.,False
In what country was Jorge Semprún Maura born?,Greece.,False
In what country was Jorge Semprún Maura born?,Belgium.,False
In what country was Jorge Semprún Maura born?,Colombia.,False
In what country was Jorge Semprún Maura born?,Portugal.,False
In what country was Jorge Semprún Maura born?,Chile.,False
In what country was Jorge Semprún Maura born?,Peru.,False
In what country was Jorge Semprún Maura born?,Ecuador.,False
In what country was Jorge Semprún Maura born?,Uruguay.,False
What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Minister of Culture,True
What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Minister of Foreign Affairs.,False
What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Deputy Head of the Royal Guard.,False
What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,President of the Congress of Deputies.,False
What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,President of the Senate.,False
What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,President of the General Assembly of the United Nations.,False
What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Ambassador to the United Nations in New York.,False
What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Minister of State for Foreign Affairs.,False
What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Vice President of the Government of Spain.,False
What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Jorge Semprún Maura served as the Director-General of the Instituto Nacional de la Vivienda (National,False
What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Buchenwald,True
What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Stutthof.,False
What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Dachau.,False
What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Sachsenhausen.,False
What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Ravensbrück.,False
What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Mauthausen.,False
What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Flossenbürg.,False
What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Pforzheimer.,False
What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Zgorzelec.,False
What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Auschwitz.,False
Where did Jorge Semprún live most of his life?,France,True
Where did Jorge Semprún live most of his life?,Uruguay.,False
Where did Jorge Semprún live most of his life?,The Swiss Alps.,False
Where did Jorge Semprún live most of his life?,Cuba.,False
Where did Jorge Semprún live most of his life?,Argentina.,False
Where did Jorge Semprún live most of his life?,Chile.,False
Where did Jorge Semprún live most of his life?,Colombia.,False
Where did Jorge Semprún live most of his life?,Germany.,False
